model,processor,screen_size,ram,storage,warranty,count,min_price,max_price,avg_price
MacBook Pro,Intel i5,13,16,Unknown,Unknown,2,5900,8800,7350.0
MacBook Pro,Intel i5,13,Unknown,Unknown,Unknown,7,3500,25000,10814.285714285714
MacBook Pro,Intel i5,16,16,256,Unknown,1,8800,8800,8800.0
MacBook Pro,Intel i7,13,8,Unknown,Unknown,2,6500,15500,11000.0
MacBook Pro,Intel i7,13,16,512,Unknown,3,9350,12500,10783.333333333334
MacBook Pro,Intel i7,15,8,Unknown,Unknown,1,5500,5500,5500.0
MacBook Pro,Intel i7,15,16,256,Unknown,2,9600,11500,10550.0
MacBook Pro,Intel i7,15,16,512,Unknown,6,9450,15500,13810.0
MacBook Pro,Intel i7,15,16,Unknown,Unknown,1,13500,13500,13500.0
MacBook Pro,Intel i7,15,Unknown,256,Unknown,1,12000,12000,12000.0
MacBook Pro,Intel i7,15,Unknown,Unknown,Unknown,2,4000,4000,4000.0
MacBook Pro,Intel i7,16,16,256,Unknown,1,8999,8999,8999.0
MacBook Pro,Intel i7,16,16,512,Unknown,3,15000,18000,16370.0
MacBook Pro,Intel i9,15,16,512,Unknown,1,16500,16500,16500.0
MacBook Pro,Intel i9,15,32,Unknown,Unknown,1,33000,33000,33000.0
MacBook Pro,Intel i9,16,4,Unknown,Unknown,1,29900,29900,29900.0
MacBook Pro,Intel i9,16,16,Unknown,Unknown,3,17000,22000,18833.333333333332
MacBook Pro,Intel i9,16,32,Unknown,Unknown,5,20000,33000,25900.0
MacBook Pro,Intel i9,16,Unknown,Unknown,Unknown,1,20000,20000,20000.0
MacBook Pro,M1,13,8,256,Unknown,2,14000,14500,14250.0
MacBook Pro,M1,13,8,512,Unknown,6,14900,22000,17316.666666666668
MacBook Pro,M1,13,16,256,Unknown,2,16000,16000,16000.0
MacBook Pro,M1,13,Unknown,Unknown,Unknown,9,15000,55000,26777.777777777777
MacBook Pro,M1,14,16,512,Unknown,2,27000,29000,28000.0
MacBook Pro,M1,14,32,Unknown,Unknown,2,37000,46000,41500.0
MacBook Pro,M1,14,Unknown,Unknown,Unknown,1,36666,36666,36666.0
MacBook Pro,M1,15,16,Unknown,Unknown,1,7500,7500,7500.0
MacBook Pro,M1,16,16,Unknown,Unknown,3,21000,35000,25666.666666666668
MacBook Pro,M1,16,Unknown,512,Unknown,2,17500,33000,25250.0
MacBook Pro,M1,16,Unknown,Unknown,Unknown,1,1800,1800,1800.0
MacBook Pro,M1Max,14,32,Unknown,Unknown,1,48000,48000,48000.0
MacBook Pro,M1Max,14,64,Unknown,Unknown,3,40000,99999,61666.333333333336
MacBook Pro,M1Max,16,16,Unknown,Unknown,1,48000,48000,48000.0
MacBook Pro,M1Max,16,32,Unknown,Unknown,2,39500,49400,44450.0
MacBook Pro,M1Pro,13,Unknown,Unknown,Unknown,2,26000,28000,27000.0
MacBook Pro,M1Pro,14,16,512,In Warranty,1,34000,34000,34000.0
MacBook Pro,M1Pro,14,16,Unknown,Unknown,4,34000,36000,34750.0
MacBook Pro,M1Pro,14,32,512,Unknown,1,36000,36000,36000.0
MacBook Pro,M1Pro,14,32,Unknown,Unknown,5,34500,39000,35900.0
MacBook Pro,M1Pro,14,Unknown,Unknown,Unknown,10,20000,38000,29560.0
MacBook Pro,M1Pro,16,16,512,Unknown,3,28000,33210,30070.0
MacBook Pro,M1Pro,16,16,Unknown,AppleCare,2,34000,36500,35250.0
MacBook Pro,M1Pro,16,16,Unknown,Unknown,2,31000,48000,39500.0
MacBook Pro,M1Pro,16,32,Unknown,AppleCare,1,37500,37500,37500.0
MacBook Pro,M1Pro,16,32,Unknown,Unknown,2,39000,39500,39250.0
MacBook Pro,M1Pro,16,Unknown,Unknown,Unknown,2,31000,62800,46900.0
MacBook Pro,M2,13,8,256,Unknown,10,17500,24000,22320.0
MacBook Pro,M2,13,8,512,Unknown,1,25000,25000,25000.0
MacBook Pro,M2,13,24,256,Unknown,1,28000,28000,28000.0
MacBook Pro,M2,13,24,Unknown,In Warranty,1,36000,36000,36000.0
MacBook Pro,M2,13,Unknown,Unknown,Unknown,6,20000,32000,26833.333333333332
MacBook Pro,M2,16,16,256,Unknown,1,25900,25900,25900.0
MacBook Pro,M2,16,16,Unknown,Unknown,1,6500,6500,6500.0
