title,price,location,date,model,processor,screen_size,storage,ram,warranty,price_num,normalized_link
「二手」MacBook Pro 14 M1 16G/512G,"NT$29,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M1Pro,14,512,16,Unknown,29000,https://www.facebook.com/marketplace/item/1066403598222062/
MacBook Air 13吋 M2 8G/512GB,"NT$26,990","Taipei, Taiwan",2025-06-29,MacBook Air,M2,13,512,8,Unknown,26990,https://www.facebook.com/marketplace/item/1595856721081448/
超長Apple Care保固Macbook Pro 16吋M1 Pro 32GB 1TB 灰色,"NT$37,500","Taipei, Taiwan",2025-06-29,MacBook Pro,M1Pro,16,Unknown,32,AppleCare,37500,https://www.facebook.com/marketplace/item/1478894776431091/
MacBook Air M3 15吋 16/256 保內,"NT$33,000","Taipei, Taiwan",2025-06-29,MacBook Air,M3,15,256,16,Unknown,33000,https://www.facebook.com/marketplace/item/629975159382050/
￼2019 Apple MacBook Pro i7 16G 512G Retina 16吋,"NT$15,000","Taipei, Taiwan",2025-06-29,MacBook Pro,Intel i7,16,512,16,Unknown,15000,https://www.facebook.com/marketplace/item/990610013135703/
【 品牌 】Apple 蘋果 【 型號 】macbook pro 【 尺寸 】14吋 LED 【 製造 】2023年 11月 【 記憶體 】8G 【 處理器 】M3版 【 儲存容量】512G,"NT$30,000",New Taipei City,2025-06-29,MacBook Pro,M3,14,512,8,Unknown,30000,https://www.facebook.com/marketplace/item/599853566043828/
‼️超級新‼️保固內‼️售太空灰 MacBook Pro 14--inch M3 ❤️,"NT$54,000",New Taipei City,2025-06-29,MacBook Pro,M3,14,Unknown,Unknown,In Warranty,54000,https://www.facebook.com/marketplace/item/1232728505110882/
全新未拆14 吋MacBook Pro M4 16GB 512GB 銀色,"NT$42,500","Taipei, Taiwan",2025-06-29,MacBook Pro,M4,14,512,16,Unknown,42500,https://www.facebook.com/marketplace/item/723502650047272/
全新未拆封 最新款M4 MacBook Pro 14 吋16記憶體/512太空黑,"NT$48,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M4,14,Unknown,Unknown,Unknown,48000,https://www.facebook.com/marketplace/item/2146161722531493/
"Apple MacBook Pro 2018 i7 16G, 256GB","NT$8,999","Taipei, Taiwan",2025-06-29,MacBook Pro,Intel i7,16,256,16,Unknown,8999,https://www.facebook.com/marketplace/item/2120187111836837/
【商品】近全新 MacBook Air 13-inch A2337,NT$1,"Taipei, Taiwan",2025-06-29,MacBook Air,Unknown,13,Unknown,Unknown,Unknown,1,https://www.facebook.com/marketplace/item/1491482395149277/
MacBook Air 13吋 2017,"NT$4,900",New Taipei City,2025-06-29,MacBook Air,Unknown,13,Unknown,Unknown,Unknown,4900,https://www.facebook.com/marketplace/item/1242720034172687/
Macbook Air 2015 i5-1.6G/8G/128G 13吋 銀#二手筆電#板橋店4H3QD,"NT$1,950",New Taipei City,2025-06-29,MacBook Air,Intel i5,15,Unknown,8,Unknown,1950,https://www.facebook.com/marketplace/item/1887194518733193/
Apple MacBook Air 13吋外觀完美,"NT$3,500",New Taipei City,2025-06-29,MacBook Air,Unknown,13,Unknown,Unknown,Unknown,3500,https://www.facebook.com/marketplace/item/1646865159359520/
（售）2014年末 Macbook Pro 15”Retina,"NT$6,000","Taipei, Taiwan",2025-06-29,MacBook Pro,Unknown,14,Unknown,Unknown,Unknown,6000,https://www.facebook.com/marketplace/item/757393953520894/
可刷卡分期 MacbookAir 13” 2017 i5 1.8Ghz/8GB/256GB,"NT$4,490",New Taipei City,2025-06-29,MacBook Air,Intel i5,13,256,8,Unknown,4490,https://www.facebook.com/marketplace/item/1058335392900268/
MacBook Air 13吋 M4 256G,"NT$36,500","Taipei, Taiwan",2025-06-29,MacBook Air,M4,13,256,Unknown,Unknown,36500,https://www.facebook.com/marketplace/item/481730101654861/
512容量 M1 CPU MacBook Air 13 玫瑰金,"NT$15,000","Taipei, Taiwan",2025-06-29,MacBook Air,M1,13,Unknown,Unknown,Unknown,15000,https://www.facebook.com/marketplace/item/697984056349927/
"Macbook Air 13"" 128G 2016","NT$3,000","Taipei, Taiwan",2025-06-29,MacBook Air,Unknown,13,Unknown,128,Unknown,3000,https://www.facebook.com/marketplace/item/1383290479639918/
全新出清 MacBook Air 15,"NT$26,000","Taipei, Taiwan",2025-06-29,MacBook Air,Unknown,15,Unknown,Unknown,Unknown,26000,https://www.facebook.com/marketplace/item/629783260113095/
M1 超值客製款16G記憶體/512 ssd M1 2021 Macbook Pro 13,"NT$17,500","Taipei, Taiwan",2025-06-29,MacBook Pro,M1Pro,16,512,Unknown,Unknown,17500,https://www.facebook.com/marketplace/item/753429640452979/
