title,price,location,date,model,processor,screen_size,storage,ram,warranty,price_num,normalized_link
[售]二手 MacBook pro M1 2021 32GB/1TB 14吋,"NT$37,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M1Pro,14,Unknown,32,Unknown,37000,https://www.facebook.com/marketplace/item/599992652510037/
2021 14寸 Macbook Pro M1 / 32G / 2TB 八成新,"NT$46,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M1Pro,14,Unknown,32,Unknown,46000,https://www.facebook.com/marketplace/item/683369384185164/
MacBook Air 15 A2941 星光色,"NT$25,000",New Taipei City,2025-06-29,MacBook Air,Unknown,15,Unknown,Unknown,Unknown,25000,https://www.facebook.com/marketplace/item/999460865732702/
Macbook pro 14吋 m1 pro,"NT$29,000","Nanao, T'Ai-Wan, Taiwan",2025-06-29,MacBook Pro,M1Pro,14,Unknown,Unknown,Unknown,29000,https://www.facebook.com/marketplace/item/1253851522959129/
Apple Macbook Pro 16吋 32GB記憶體版本,"NT$58,000","Taoyuan District, Taoyuan",2025-06-29,MacBook Pro,Unknown,16,Unknown,Unknown,Unknown,58000,https://www.facebook.com/marketplace/item/581816247907900/
【售】MacBook Pro 14吋 M3 Pro / 18GB / 512G / 銀,"NT$45,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M3Pro,14,512,Unknown,Unknown,45000,https://www.facebook.com/marketplace/item/2501504363517539/
14 吋 MacBook Pro,"$77,900","Taichung, Taiwan",2025-06-29,MacBook Pro,Unknown,14,Unknown,Unknown,Unknown,77900,https://www.facebook.com/marketplace/item/738461258580720/
MacBook Pro 16吋（M2 pro）,"NT$45,000","Kaohsiung, Taiwan",2025-06-29,MacBook Pro,M2Pro,16,Unknown,Unknown,Unknown,45000,https://www.facebook.com/marketplace/item/2164652350626079/
售Apple MacBook Pro 14寸M4 Pro晶片 24GB 、1TB SSD（少見的1TB！）,"$69,500","Taoyuan District, Taoyuan",2025-06-29,MacBook Pro,M4Pro,14,Unknown,24,Unknown,69500,https://www.facebook.com/marketplace/item/2229534117564083/
歡迎出價MacBook Pro 14” M3 MAX/14C CPU/30C GPU/36GB/2TB/銀色/包裝完整/二手保固中,"NT$76,000",Hualian City,2025-06-29,MacBook Pro,M3Max,14,Unknown,Unknown,Unknown,76000,https://www.facebook.com/marketplace/item/2475565952836583/
徵 MacBookPro 14吋 m1max 64g 512或1T皆可,"NT$45,000","Taoyuan District, Taoyuan",2025-06-29,MacBook Pro,M1Max,14,Unknown,64,Unknown,45000,https://www.facebook.com/marketplace/item/1041531574785214/
2020 MACBOOK PRO M1 8G 256G 灰色 13吋,"$14,500","Taipei, Taiwan",2025-06-29,MacBook Pro,M1,13,256,8,Unknown,14500,https://www.facebook.com/marketplace/item/1015849383974411/
MacBook Pro 16吋 32GB 1TB 2020年 Core i9 太空灰色-保存良好、功能高階！,"NT$33,000",New Taipei City,2025-06-29,MacBook Pro,Intel i9,16,Unknown,32,Unknown,33000,https://www.facebook.com/marketplace/item/1148745237056276/
MacBook Pro 2020 512G 16G出售｜台北嘉義可面交｜原廠配件皆在｜電池健康,"NT$25,000","Taipei, Taiwan",2025-06-29,MacBook Pro,Unknown,16,512,Unknown,Unknown,25000,https://www.facebook.com/marketplace/item/1403162133982773/
16吋 Macbook PRO M2 pro 16G 512G/贈近6000元配件,"NT$48,000",New Taipei City,2025-06-29,MacBook Pro,M2Pro,16,512,16,Unknown,48000,https://www.facebook.com/marketplace/item/1239488000477480/
【售】MacBook Pro 13吋 M2 / 2023 / 8GB / 256G / 太空灰,"NT$22,900","Taipei, Taiwan",2025-06-29,MacBook Pro,M2,13,256,8,Unknown,22900,https://www.facebook.com/marketplace/item/1411794476862901/
MacBook Pro A2485 16g/1T,"NT$29,900","Taichung, Taiwan",2025-06-29,MacBook Pro,Unknown,16,Unknown,16,Unknown,29900,https://www.facebook.com/marketplace/item/1261379062037818/
MacBook Pro A2141 16/512g,"NT$18,800","Taichung, Taiwan",2025-06-29,MacBook Pro,Unknown,14,512,16,Unknown,18800,https://www.facebook.com/marketplace/item/698514369696537/
[販售] 雙北 MacBook Pro M1 Pro 14 16G 1TB,"NT$34,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M1Pro,14,Unknown,16,Unknown,34000,https://www.facebook.com/marketplace/item/1458426558686600/
"可分期 客製款 Macbook Pro 13"" 灰色 M1 / 16GB / 256GB 13吋","NT$16,000",New Taipei City,2025-06-29,MacBook Pro,M1,13,256,16,Unknown,16000,https://www.facebook.com/marketplace/item/1203659354467117/
徵 MacBook Pro M1 Max 64 14 inch,"NT$40,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M1Max,14,Unknown,64,Unknown,40000,https://www.facebook.com/marketplace/item/3779370179029014/
出清 Macbook Air Pro 13.3 (1440 * 900) retina 蘋果電腦 i5/8G/128GB/apple筆電/電腦/筆記型電腦電腦,"$12,999","Keelung, Taiwan",2025-06-29,MacBook Air,Intel i5,13,Unknown,8,Unknown,12999,https://www.facebook.com/marketplace/item/1211037857487888/
"Airpods4, Iphone12pro 256G,12 128G,11 64/128G,xs 256G, MacBook pro13吋","$5,100","Taipei, Taiwan",2025-06-29,MacBook Air,Unknown,13,256,128,Unknown,5100,https://www.facebook.com/marketplace/item/481061808132341/
MacBook Air 13 m3 512/16 星光金 雙北,"NT$35,000","Taipei, Taiwan",2025-06-29,MacBook Air,M3,13,512,16,Unknown,35000,https://www.facebook.com/marketplace/item/1210304147420637/
MacBook Pro A1466 零件機,"NT$3,500","Taichung, Taiwan",2025-06-29,MacBook Pro,Unknown,14,Unknown,Unknown,Unknown,3500,https://www.facebook.com/marketplace/item/1712209136163009/
Macbook Pro 16,"NT$53,000",New Taipei City,2025-06-29,MacBook Pro,Unknown,16,Unknown,16,Unknown,53000,https://www.facebook.com/marketplace/item/705631505742433/
￼【UNIQ】Macbook Air/Pro 13吋 磁吸筆電保護套(DFender)｜筆電套 時尚緩衝 綠,$999,"Taipei, Taiwan",2025-06-29,MacBook Air,Unknown,13,Unknown,Unknown,Unknown,999,https://www.facebook.com/marketplace/item/1020668393561742/
MacBook Air 13吋M2 8GB 256GB,"NT$16,800","Taipei, Taiwan",2025-06-29,MacBook Air,M2,13,256,8,Unknown,16800,https://www.facebook.com/marketplace/item/1052889403468480/
Macbook pro M1 2021 蘋果筆電 Apple A2338 8G 512G TouchBar TouchID (0143),"NT$18,500","Taoyuan District, Taoyuan",2025-06-29,MacBook Pro,M1Pro,14,512,8,Unknown,18500,https://www.facebook.com/marketplace/item/1443253476716786/
影音、平面設計、室內設計、編曲適合 高階版本M2 Pro MacBook Pro 14吋 1TB SSD,"NT$39,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M2Pro,14,Unknown,Unknown,Unknown,39000,https://www.facebook.com/marketplace/item/1255235376053102/
Macbook pro 14吋M3 Pro 18GB 512GB,"NT$41,500",New Taipei City,2025-06-29,MacBook Pro,M3Pro,14,512,Unknown,Unknown,41500,https://www.facebook.com/marketplace/item/1402789040842018/
Macbook pro 14吋M1 Pro 32GB 1TB,"NT$34,500","Taipei, Taiwan",2025-06-29,MacBook Pro,M1Pro,14,Unknown,32,Unknown,34500,https://www.facebook.com/marketplace/item/590103897468093/
Apple Macbook Air 13 2019 i5-1.6/16G/128G 瑕疵機 灰 A77192,"NT$6,000","Taipei, Taiwan",2025-06-29,MacBook Air,Intel i5,13,Unknown,16,Unknown,6000,https://www.facebook.com/marketplace/item/1433907234701600/
難得釋出M1 超香客製款16G記憶體256 ssd M1 2021 Macbook Pro 13,"NT$1,800","Taoyuan District, Taoyuan",2025-06-29,MacBook Pro,M1Pro,16,Unknown,Unknown,Unknown,1800,https://www.facebook.com/marketplace/item/587509721119939/
超值 32G記憶體M1 Pro MacBook 14吋,"NT$34,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M1Pro,14,Unknown,Unknown,Unknown,34000,https://www.facebook.com/marketplace/item/692244389884938/
【售】電池92% MacBook Pro 13吋 M2 / 2023 / 8GB / 256G / 太空灰,"NT$24,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M2,13,256,8,Unknown,24000,https://www.facebook.com/marketplace/item/722469660392520/
【售】電池93% MacBook Pro 13吋 M2 / 2023 / 8GB / 256G / 太空灰,"NT$24,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M2,13,256,8,Unknown,24000,https://www.facebook.com/marketplace/item/574668275335308/
售Apple MacBook Air 15吋M3/8G/256G 2024 灰色,"NT$26,000","Taichung, Taiwan",2025-06-29,MacBook Air,M3,15,256,8,Unknown,26000,https://www.facebook.com/marketplace/item/1426132458737104/
M3 max MacBook Pro 16寸,"$98,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M3Max,16,Unknown,Unknown,Unknown,98000,https://www.facebook.com/marketplace/item/985961526775492/
【售】MacBook Pro 13吋 M2 / 2023 / 8GB / 256G / 太空灰,"NT$22,900","Taipei, Taiwan",2025-06-29,MacBook Pro,M2,13,256,8,Unknown,22900,https://www.facebook.com/marketplace/item/581211121301676/
售MacBook Pro 14,"NT$39,999","Taipei, Taiwan",2025-06-29,MacBook Pro,Unknown,14,Unknown,Unknown,Unknown,39999,https://www.facebook.com/marketplace/item/1582501402390084/
MacBook Pro m3pro 18G 512GB 14寸 二手99%全新 可議價,"NT$60,000","Taichung, Taiwan",2025-06-29,MacBook Pro,M3Pro,14,512,Unknown,Unknown,60000,https://www.facebook.com/marketplace/item/1064434778932487/
"MacBook Pro M3 Max, 14-inch, 64GB RAM, 512GB storage","NT$116,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M3Max,14,512,64,Unknown,116000,https://www.facebook.com/marketplace/item/656163136747105/
高雄可面交🍎僅展示100%新 MacBook Pro 16吋 m1 pro 16/1TB,"NT$48,000","Kaohsiung, Taiwan",2025-06-29,MacBook Pro,M1Pro,16,Unknown,16,Unknown,48000,https://www.facebook.com/marketplace/item/701792849142546/
"✅全台面交✅ 蘋果 Apple MacBook Pro 14吋 M4 / 16G / 512G / 太空黑 / 14"" / Macbook Pro 14 M4 16G 512G","NT$48,800","Taoyuan District, Taoyuan",2025-06-29,MacBook Pro,M4,14,512,16,Unknown,48800,https://www.facebook.com/marketplace/item/1071927344429291/
❤️‼️售MacBook Pro 14--inch M3 近全新割愛❤️,"$65,000",New Taipei City,2025-06-29,MacBook Pro,M3,14,Unknown,Unknown,Unknown,65000,https://www.facebook.com/marketplace/item/2952500231596288/
【售】客製款MacBook Air 13吋 M3 / 16GB / 256G / 10核心GPU / 太空灰,"NT$25,900","Taipei, Taiwan",2025-06-29,MacBook Air,M3,13,256,16,Unknown,25900,https://www.facebook.com/marketplace/item/509063248899634/
MacBook pro M1 pro 14吋 10 CPU 14 GUP RAM 32G SSD 512G,"NT$36,000","Kaohsiung, Taiwan",2025-06-29,MacBook Pro,M1Pro,14,512,32,Unknown,36000,https://www.facebook.com/marketplace/item/10029544400495725/
MacBook Pro 16-inch A2780,"NT$45,000","Taipei, Taiwan",2025-06-29,MacBook Pro,Unknown,16,Unknown,16,Unknown,45000,https://www.facebook.com/marketplace/item/1191161065747674/
2014年末 Macbook Pro 15”Retina,"$6,000","Taipei, Taiwan",2025-06-29,MacBook Pro,Unknown,14,Unknown,Unknown,Unknown,6000,https://www.facebook.com/marketplace/item/970917181684802/
Macbook Pro M4 14” 16/512G 太空黑,"NT$47,500","Taichung, Taiwan",2025-06-29,MacBook Pro,M4,14,512,16,Unknown,47500,https://www.facebook.com/marketplace/item/1036585058604716/
保固中 MacBook Air 15吋 M3｜電池健康度 100%,"NT$38,500","Taipei, Taiwan",2025-06-29,MacBook Air,M3,15,Unknown,Unknown,Unknown,38500,https://www.facebook.com/marketplace/item/1564399081630408/
售 MacBook Pro 16.2吋 M3Pro/18G/ 512G-太空灰,"NT$46,000","Taichung, Taiwan",2025-06-29,MacBook Pro,M3Pro,16,512,16,Unknown,46000,https://www.facebook.com/marketplace/item/692268220441702/
MacBook Air 13-inch M1（A2337）,"NT$17,999","Taipei, Taiwan",2025-06-29,MacBook Air,M1,13,Unknown,Unknown,Unknown,17999,https://www.facebook.com/marketplace/item/650117364569575/
"MACBOOK PRO M4 16/512g 銀色 全新未拆""整新機""","NT$45,800","Hsinchu, Taiwan",2025-06-29,MacBook Pro,M4,16,512,16,Unknown,45800,https://www.facebook.com/marketplace/item/2449855215352369/
全新MacBook air m3 13吋 24g+512SSD銀色，原價49900,"NT$39,000","Taipei, Taiwan",2025-06-29,MacBook Air,M3,13,Unknown,24,Unknown,39000,https://www.facebook.com/marketplace/item/1651574895448082/
Macbook Air 13寸,"NT$2,690",New Taipei City,2025-06-29,MacBook Air,Unknown,13,Unknown,Unknown,Unknown,2690,https://www.facebook.com/marketplace/item/899176468955741/
Macbook air 2019 13吋,"NT$11,000","Taipei, Taiwan",2025-06-29,MacBook Air,Unknown,13,Unknown,Unknown,Unknown,11000,https://www.facebook.com/marketplace/item/1079982883977088/
徵 MACBOOK PRO M3 16吋,"NT$99,999",Changhua,2025-06-29,MacBook Pro,M3,16,Unknown,Unknown,Unknown,99999,https://www.facebook.com/marketplace/item/2212475265894860/
"M2 Macbook Air 15"" 2022 銀色 8G / 512G 只要22800 !!!","NT$22,800","Taipei, Taiwan",2025-06-29,MacBook Air,M2,15,512,8,Unknown,22800,https://www.facebook.com/marketplace/item/1028292962806238/
全新品 M3 Macbook Pro 14 8/512G 全新未拆封,"NT$38,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M3,14,512,8,Unknown,38000,https://www.facebook.com/marketplace/item/3663553747223411/
Macbook pro 14吋 M3Max 36G+1TB 14+30核 黑色,"NT$76,000",Hualian City,2025-06-29,MacBook Pro,M3Max,14,Unknown,Unknown,Unknown,76000,https://www.facebook.com/marketplace/item/3943081469277772/
全新未拆 MacBook Pro 14 / 16,"NT$48,000","Taipei, Taiwan",2025-06-29,MacBook Pro,Unknown,14,Unknown,16,Unknown,48000,https://www.facebook.com/marketplace/item/701752945660950/
13.6吋（2022年 M2）MacBook Air 256G-午夜色,"NT$19,000","Taipei, Taiwan",2025-06-29,MacBook Air,M2,13,256,Unknown,Unknown,19000,https://www.facebook.com/marketplace/item/1199441841901228/
"MacBook Pro 16吋 (2021, M1 Max, 32GB RAM, 1TB SSD, 美規版)","NT$39,500","Taipei, Taiwan",2025-06-29,MacBook Pro,M1Max,16,Unknown,32,Unknown,39500,https://www.facebook.com/marketplace/item/671083625300330/
MacBook Pro M1 Pro 14” 銀色,"NT$33,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M1Pro,14,Unknown,Unknown,Unknown,33000,https://www.facebook.com/marketplace/item/2019432391799758/
賣MacBook pro m2pro 16寸,"$48,000",New Taipei City,2025-06-29,MacBook Pro,M2Pro,16,Unknown,Unknown,Unknown,48000,https://www.facebook.com/marketplace/item/973672801417190/
M2 Powerful MacBook Pro 16GB 256GB,"NT$27,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M2Pro,16,256,16,Unknown,27000,https://www.facebook.com/marketplace/item/1062794732402471/
Macbook m1 pro 14吋 16/512GB保固內,"NT$34,000",New Taipei City,2025-06-29,MacBook Pro,M1Pro,14,Unknown,16,In Warranty,34000,https://www.facebook.com/marketplace/item/1010049597674808/
MacBook Pro 2017 i5 16G Ram 256GB容量,"$6,500",New Taipei City,2025-06-29,MacBook Pro,Intel i5,16,Unknown,16,Unknown,6500,https://www.facebook.com/marketplace/item/4179576422273234/
Macbook pro 16 m1 max 32GB 1TB 太空灰 二手,"NT$48,000",Zhubei,2025-06-29,MacBook Pro,M1Max,16,Unknown,16,Unknown,48000,https://www.facebook.com/marketplace/item/1340266393779308/
2019 Macbook pro 16吋 i7六核心 32GB 512GB 獨顯,"$17,000",New Taipei City,2025-06-29,MacBook Pro,Unknown,16,512,32,Unknown,17000,https://www.facebook.com/marketplace/item/1256344615927310/
MacBook Air 13 1TB (16G),"NT$39,800","Hsinchu, Taiwan",2025-06-29,MacBook Air,Unknown,13,Unknown,16,Unknown,39800,https://www.facebook.com/marketplace/item/1128140726025039/
全新 MacBook Pro 16-inch A2780,"$45,000","Taipei, Taiwan",2025-06-29,MacBook Pro,Unknown,16,Unknown,16,Unknown,45000,https://www.facebook.com/marketplace/item/716614830774666/
MacBook Pro（13 英寸，M2，2022 年）,"NT$30,000",New Taipei City,2025-06-29,MacBook Pro,M2,13,Unknown,Unknown,Unknown,30000,https://www.facebook.com/marketplace/item/1166117995287938/
Macbook pro 16吋M1 Pro 32GB 2TB,"NT$39,500",New Taipei City,2025-06-29,MacBook Pro,M1Pro,16,Unknown,32,Unknown,39500,https://www.facebook.com/marketplace/item/1038855331661631/
1. Macbook Air 15吋 (24+512) M4 晶片 $48000 2.I phone16 promax 512G $46000,"$46,000","Taipei, Taiwan",2025-06-29,MacBook Air,M4,15,512,24,Unknown,46000,https://www.facebook.com/marketplace/item/1902670503823399/
一台頂規現貨二手 台版 MacBook Pro 14 m4 max 128G 記憶體 2T SSD 納米螢幕 全部盒裝都在 無任何傷痕問題,"NT$160,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M4Max,14,Unknown,128,Unknown,160000,https://www.facebook.com/marketplace/item/741042435125531/
2021 MacBook Pro M1 16寸 512GB,"$33,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M1Pro,16,512,Unknown,Unknown,33000,https://www.facebook.com/marketplace/item/735860909122904/
【售】電池100% MacBook Pro 14吋 M3 Pro / 18GB / 512G / 銀,"NT$45,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M3Pro,14,512,Unknown,Unknown,45000,https://www.facebook.com/marketplace/item/1129441429043196/
全新MacBook Air M3 13.6吋 16G/256G SSD 午夜色售34000,"NT$34,000",New Taipei City,2025-06-29,MacBook Air,M3,13,256,16,Unknown,34000,https://www.facebook.com/marketplace/item/702848208776226/
MacBook Air 15吋 M4 16GB 256G SSD 全新未拆,"NT$37,710","Taipei, Taiwan",2025-06-29,MacBook Air,M4,15,256,16,Unknown,37710,https://www.facebook.com/marketplace/item/1168321951709491/
32G記憶體 I9 八核心 MacBook Pro 16吋 1TB SSD 容量,"NT$20,000","Taipei, Taiwan",2025-06-29,MacBook Pro,Intel i9,16,Unknown,Unknown,Unknown,20000,https://www.facebook.com/marketplace/item/603711616102837/
Macbook pro 14吋M3 Pro 18GB 1TB,"NT$44,500",New Taipei City,2025-06-29,MacBook Pro,M3Pro,14,Unknown,Unknown,Unknown,44500,https://www.facebook.com/marketplace/item/697704079826238/
"MacBook Air (13 英吋, 2013年中) 充電器全新 蘋果筆電","NT$3,000",New Taipei City,2025-06-29,MacBook Air,Unknown,13,Unknown,Unknown,Unknown,3000,https://www.facebook.com/marketplace/item/9853572867998875/
MacBook Air M2 (13.6吋),"$25,000",New Taipei City,2025-06-29,MacBook Air,M2,13,Unknown,Unknown,Unknown,25000,https://www.facebook.com/marketplace/item/1210540583960126/
記憶體16/1tb SSD 2020高規格4孔 MacBook Pro retina 13,"NT$16,000",New Taipei City,2025-06-29,MacBook Pro,Unknown,16,Unknown,Unknown,Unknown,16000,https://www.facebook.com/marketplace/item/1317531022726482/
先誠信再成交🤝 🔥MacbookPro A1989 不完美機台🔥 二手筆電💻I7-16G 512G 詳情看內文 新北市土城區面交佳💯,"NT$10,500",New Taipei City,2025-06-29,MacBook Pro,Intel i7,16,512,16,Unknown,10500,https://www.facebook.com/marketplace/item/624299726684060/
（售）2014年末 Macbook Pro 15”Retina,"$6,000","Taipei, Taiwan",2025-06-29,MacBook Pro,Unknown,14,Unknown,Unknown,Unknown,6000,https://www.facebook.com/marketplace/item/2080613469097022/
2024 MacBook Air 13吋 M3 8C10G 16G 512 GB SSD 公司貨 全新未拆封 保固未啟用,"$35,000","Taipei, Taiwan",2025-06-29,MacBook Air,M3,13,512,16,Unknown,35000,https://www.facebook.com/marketplace/item/3307478586058663/
MacBook Air 2015,"NT$4,000","Taoyuan District, Taoyuan",2025-06-29,MacBook Air,Unknown,15,Unknown,Unknown,Unknown,4000,https://www.facebook.com/marketplace/item/643211708748601/
MacBook Pro M4 14吋 16/1tb,"NT$50,000",New Taipei City,2025-06-29,MacBook Pro,M4,14,Unknown,16,Unknown,50000,https://www.facebook.com/marketplace/item/1622880741683302/
MacBook Air M3 24g/512g 保固至2026/01/15 盒配完整 全新無傷 北市 自取 不議,"NT$38,500","Taipei, Taiwan",2025-06-29,MacBook Air,M3,15,512,24,Unknown,38500,https://www.facebook.com/marketplace/item/719432870515150/
Macbook pro 16 inch 2019,"NT$18,500",New Taipei City,2025-06-29,MacBook Pro,Unknown,16,Unknown,16,Unknown,18500,https://www.facebook.com/marketplace/item/1135476171323041/
【售】MacBook Air 13吋 M2 / 8GB / 256G / 太空灰,"NT$19,900","Taipei, Taiwan",2025-06-29,MacBook Air,M2,13,256,8,Unknown,19900,https://www.facebook.com/marketplace/item/712385058397665/
MacBook Air 13 2024 8G M3可議價,"NT$24,000","Yüanlin, T'Ai-Wan, Taiwan",2025-06-29,MacBook Air,M3,13,Unknown,8,Unknown,24000,https://www.facebook.com/marketplace/item/1662177928067309/
電池100%稀有釋出M1 Max MacBook Pro 14吋32/2TB,"NT$48,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M1Max,14,Unknown,Unknown,Unknown,48000,https://www.facebook.com/marketplace/item/1602167283805588/
Apple MacBook Air 15 M4 10核心 CPU 10核心 GPU 16G/256G SSD,"$38,000","Taoyuan District, Taoyuan",2025-06-29,MacBook Air,M4,15,256,16,Unknown,38000,https://www.facebook.com/marketplace/item/1027653536184173/
【售】MacBook air 13吋 M1 / A2337 / 8GB / 256G / 灰色,"NT$11,499",New Taipei City,2025-06-29,MacBook Air,M1,13,256,8,Unknown,11499,https://www.facebook.com/marketplace/item/1395298031592692/
Macbook Air 15吋 (24+512) M4 晶片（最新晶片） 官網55900 售52000,"$52,000","Taipei, Taiwan",2025-06-29,MacBook Air,M4,15,512,24,Unknown,52000,https://www.facebook.com/marketplace/item/1032704555154680/
剪輯猛獸 全機包膜保固還有330幾天 M3 max 36G/1TB SSD MacBook Pro 14吋,"NT$76,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M3Max,14,Unknown,Unknown,Unknown,76000,https://www.facebook.com/marketplace/item/2143109209446260/
升級售出 MacBook Pro 2016（TouchBar款）,"NT$8,000",New Taipei City,2025-06-29,MacBook Pro,Unknown,16,Unknown,Unknown,Unknown,8000,https://www.facebook.com/marketplace/item/878696850991508/
MacBook Air 15吋 m3晶片 16g ram 512G硬碟,"$33,000","Taichung, Taiwan",2025-06-29,MacBook Air,M3,15,Unknown,16,Unknown,33000,https://www.facebook.com/marketplace/item/24089379533990885/
🔥蘋果MacBook Pro A1708 I7七代 高效能筆電 搭配8G記憶體+256G SSD+Retina螢幕(2560*1600)🔥,"NT$6,600","Taoyuan District, Taoyuan",2025-06-29,MacBook Pro,Unknown,16,256,Unknown,Unknown,6600,https://www.facebook.com/marketplace/item/739047962401774/
MacBook pro 16寸 2019 i9 32G 1TB,"NT$25,500","Taipei, Taiwan",2025-06-29,MacBook Pro,Intel i9,16,Unknown,32,Unknown,25500,https://www.facebook.com/marketplace/item/1268444671524283/
Macbook pro 14吋M3 Pro 18GB 512GB 98%,"NT$39,500","Taipei, Taiwan",2025-06-29,MacBook Pro,M3Pro,14,512,Unknown,Unknown,39500,https://www.facebook.com/marketplace/item/2057767528052249/
MacBook Air 2022 M2 8G+256G 13吋 A2681 午夜黑,"NT$18,000","Taipei, Taiwan",2025-06-29,MacBook Air,M2,13,256,8,Unknown,18000,https://www.facebook.com/marketplace/item/1469603324390596/
【售】MacBook Air 13吋 M2 / 8GB / 256G / 午夜色,"NT$18,000","Taipei, Taiwan",2025-06-29,MacBook Air,M2,13,256,8,Unknown,18000,https://www.facebook.com/marketplace/item/1349779696250058/
